"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
il28bgt_lboccur,il28b_hcv_genotypes,,radio,"IL28B genotype available for this subject?","N, NO | Y, YES",,,,,,,y,,,,,
il28bgt_lborres,il28b_hcv_genotypes,,radio,"IL28B genotype","CC, CC | CT, CT | TT, TT",,,,,,"[il28bgt_lboccur] = 'Y'",y,,,,,
hcvgt1_lbtest,il28b_hcv_genotypes,,descriptive,"HCV Genotype",,,,,,,"0 = 1",,,,,,
hcvgt1_lbtestcd,il28b_hcv_genotypes,,descriptive,HCVGT,,,,,,,"0 = 1",,,,,,
hcvgt1_lboccur,il28b_hcv_genotypes,,radio,"HCV genotype available for this subject?","N, NO | Y, YES",,,,,,,y,,,,,
hcvgt1_lbdtc,il28b_hcv_genotypes,,text,"Year of HCV genotype",,YYYY,year_only,,,,"[hcvgt1_lboccur]= 'Y' AND [hcvgt1_supplb_nolbdtc] != 'Y'",y,,,,,
hcvgt1_supplb_nolbdtc,il28b_hcv_genotypes,,radio,"Is year of HCV genotype unknown?","N, NO | Y, YES",,,,,,"[hcvgt1_lboccur] = 'Y' AND [hcvgt1_lbdtc] = ''",y,,,,,
hcvgt1_lborres,il28b_hcv_genotypes,,dropdown,"HCV genotype ","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6",,,,,,"[hcvgt1_lboccur]= 'Y'",y,,,,,
hcvgt1_s_lborres,il28b_hcv_genotypes,,dropdown,"HCV subtype","a, a | b, b | c, c | d, d | e, e | NOT_AVAILABLE, No subtype available",,,,,,"[hcvgt1_lboccur]= 'Y'",y,,,,,
hcvgt2_lbtestcd,il28b_hcv_genotypes,,descriptive,HCVGT2,,,,,,,"0 = 1",,,,,,
hcvgt2_lbtest,il28b_hcv_genotypes,,descriptive,"HCV Secondary Genotype",,,,,,,"0 = 1",,,,,,
hcvgt2_lboccur,il28b_hcv_genotypes,,radio,"Does the subject have a mixed HCV genotype?","N, NO | Y, YES",,,,,,"[hcvgt1_lboccur]= 'Y'",y,,,,,
hcvgt2_lborres,il28b_hcv_genotypes,,dropdown,"HCV secondary genotype","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6",,,,,,"[hcvgt2_lboccur] = 'Y'",y,,,,,
hcvgt2_s_lborres,il28b_hcv_genotypes,,dropdown,"HCV secondary subtype","a, a | b, b | c, c | d, d | e, e | NOT_AVAILABLE, No subtype available",,,,,,"[hcvgt2_lboccur] = 'Y'",y,,,,,
q80k_lbtestcd,il28b_hcv_genotypes,,descriptive,Q80K,,,,,,,"0 = 1",,,,,,
q80k_lbtest,il28b_hcv_genotypes,,descriptive,"Q80K mutation present?",,,,,,,"0 = 1",,,,,,
q80k_lboccur,il28b_hcv_genotypes,,radio,"Q80K mutation available for this subject?","N, NO | Y, YES",,,,,,,y,,,,,
q80k_lborres,il28b_hcv_genotypes,,radio,"Q80K mutation present?","N, NO | Y, YES",,,,,,"[q80k_lboccur] = 'Y'",y,,,,,
cir_nx_nxmesg,fibrosis_staging,,descriptive,"Subject cirrhotic? <strong>[cirr_suppfa_cirrstat]</strong>",,,,,,,"[cirr_suppfa_cirrstat] != ''",,,,,,
plat140_nx_nxmesg,fibrosis_staging,,descriptive,"Subject had Platelets < 140K in the last 6 months prior to beginning HCV treatment? <strong>[plt_suppfa_faorres]</strong>",,,,,,,"[plt_suppfa_faorres] != ''",,,,,,
livbp_mhterm,fibrosis_staging,,descriptive,"Liver Biopsy",,,,,,,"0 = 1",,,,,,
livbp_mhoccur,fibrosis_staging,,radio,"Liver biopsy recorded for this subject?","N, NO | Y, YES",,,,,,,y,,,,,
livbp_nxmesg,fibrosis_staging,,descriptive,"<div class='red'>Please record only <strong>post-transplant</strong> biopsy results. Subject received transplant in <strong>[livr_suppmh_mhstyr]</strong>.</div>",,,,,,,"[1_arm_1][livr_suppmh_mhstyr] != '' AND [1_arm_1][livbp_suppmh_mhstyr] != '' AND ([1_arm_1][livr_suppmh_mhstyr] - [1_arm_1][livbp_suppmh_mhstyr] > 0)",,,,,,
livbp_suppmh_mhstyr,fibrosis_staging,,text,"Year of most recent biopsy?",,YYYY,year_only,,,,"[livbp_mhoccur] = 'Y' AND [livbp_suppmh_nomhstyr] != 'Y'",y,,,,,
livbp_suppmh_nomhstyr,fibrosis_staging,,radio,"Is year of biopsy unknown?","N, NO | Y, YES",,,,,,"[livbp_mhoccur] = 'Y' AND [livbp_suppmh_mhstyr] = ''",y,,,,,
livbp_faobj,fibrosis_staging,,descriptive,"Liver Biopsy",,,,,,,"0 = 1",,,,,,
livbp_fatestcd,fibrosis_staging,,descriptive,FIBCAT,,,,,,,"0 = 1",,,,,,
livbp_fatest,fibrosis_staging,,descriptive,"Fibrosis stage",,,,,,,"0 = 1",,,,,,
livbp_facat,fibrosis_staging,,radio,"Which type of fibrosis staging scale was used?","METAVIR, Metavir | ISHAK, Ishak (modified Knodell) | BATTS_LUDWIG, Batts-Ludwig | SCHEUER, Scheuer | UNKNOWN, Unknown",,,,,,"[livbp_mhoccur] = 'Y'",y,,,,,
livbp_faorres,fibrosis_staging,,dropdown,"Please supply the fibrosis category ","0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6","If pathologist specifies range (i.e. stage 3-4), select the highest value",,,,,"[livbp_mhoccur] = 'Y'",y,,,,,
cirrnote_mhterm,fibrosis_staging,,descriptive,"Hepatic cirrhosis",,,,,,,"0 = 1",,,,,,
cirrnote_mhoccur,fibrosis_staging,,radio,"Clinic or field note regarding Cirrhosis available for this subject?","N, NO | Y, YES",,,,,,,y,,,,,
cirrnote_faobj,fibrosis_staging,,descriptive,"Hepatic cirrhosis",,,,,,,"0 = 1",,,,,,
cirrnote_fatestcd,fibrosis_staging,,descriptive,HEPCIRRH,,,,,,,"0 = 1",,,,,,
cirrnote_fatest,fibrosis_staging,,descriptive,"Clinic or field note: Diagnosis of Cirrhosis",,,,,,,"0 = 1",,,,,,
cirrnote_faorres,fibrosis_staging,,radio,"Clinic or field note: Diagnosis of Cirrhosis","N, NO | Y, YES",,,,,,"[cirrnote_mhoccur] = 'Y'",y,,,,,
egd_mhterm,fibrosis_staging,,descriptive,Esophagogastroduodenoscopy,,,,,,,"0 = 1",,,,,,
egd_mhoccur,fibrosis_staging,,radio,"EGD recorded for this subject?","N, NO | Y, YES",,,,,,,y,,,,,
egd_faobj,fibrosis_staging,,descriptive,Esophagogastroduodenoscopy,,,,,,,"0 = 1",,,,,,
egd_fatestcd,fibrosis_staging,,descriptive,VARICES,,,,,,,"0 = 1",,,,,,
egd_fatest,fibrosis_staging,,descriptive,"Esophageal/Gastric Varices or portal gastropathy present?",,,,,,,"0 = 1",,,,,,
egd_faorres,fibrosis_staging,,radio,"Esophageal/Gastric Varices or portal gastropathy present on EGD?","N, NO | Y, YES",,,,,,"[egd_mhoccur] = 'Y'",y,,,,,
pht_mhterm,fibrosis_staging,,descriptive,"Ultrasound liver",,,,,,,"0 = 1",,,,,,
pht_mhoccur,fibrosis_staging,,radio,"Liver imaging recorded for this subject?","N, NO | Y, YES",,,,,,,y,,,,,
pht_faobj,fibrosis_staging,,descriptive,"Ultrasound liver",,,,,,,"0 = 1",,,,,,
pht_fatestcd,fibrosis_staging,,descriptive,CIRRPHT,,,,,,,"0 = 1",,,,,,
pht_fatest,fibrosis_staging,,descriptive,"Evidence of cirrhosis and/or portal hypertension present?",,,,,,,"0 = 1",,,,,,
pht_faorres,fibrosis_staging,,radio,"Evidence of cirrhosis and/or portal hypertension present?","N, NO | Y, YES",,,,,,"[pht_mhoccur] = 'Y'",y,,,,,
asc_mhterm,fibrosis_staging,,descriptive,Ascites,,,,,,,"0 = 1",,,,,,
asc_mhoccur,fibrosis_staging,,radio,"Ascites current or historical (imaging or clinical)?","N, NO | Y, YES",,,,,,,y,,,,,
fib_lbstat,fibrosis_staging,,radio,"Serum Fibrosis available for this subject?","NOT_DONE, NO | null, YES",,,,,,,y,,,,,
fib_lbdtc,fibrosis_staging,,text,"Serum Fibrosis date",,,date_ymd,,,,"[fib_lbstat] = 'null' AND [fib_supplb_nolbdtc] != 'Y'",y,,,,,
fib_supplb_nolbdtc,fibrosis_staging,,radio,"Is Serum Fibrosis date unknown?","N, NO | Y, YES",,,,,,"[fib_lbstat] = 'null' AND [fib_lbdtc] = ''",y,,,,,
fib_lbtest,fibrosis_staging,,radio,"Serum Fibrosis Test","FBRTST, FibroSure/FibroTest | FBRSPCT, Fibrospect | ELFG, ELFG | HEPASCR, Hepascore | FBRMTR, Fibrometer | OTHER, Other",,,,,,"[fib_lbstat] = 'null'",,,,,,
fib_oth_lbtest,fibrosis_staging,,text,"Serum Fibrosis Test Other",,,,,,,"[fib_lbtest] = 'OTHER'",,,,,,
fib_lborres,fibrosis_staging,,text,"Serum Fibrosis Score",,,number,,,,"[fib_lbstat] = 'null'",y,,,,,
fibscn_lbtestcd,fibrosis_staging,,descriptive,FBSTST,,,,,,,"0 = 1",,,,,,
fibscn_lbtest,fibrosis_staging,,descriptive,FibroSCAN,,,,,,,"0 = 1",,,,,,
fibscn_lbstat,fibrosis_staging,,radio,"FibroSCAN available for this subject?","NOT_DONE, NO | null, YES",,,,,,,y,,,,,
fibscn_lbdtc,fibrosis_staging,,text,"FibroSCAN date",,,date_ymd,,,,"[fibscn_lbstat] = 'null' AND [fibscn_supplb_nolbdtc] != 'Y'",y,,,,,
fibscn_supplb_nolbdtc,fibrosis_staging,,radio,"Is FibroSCAN date unknown?","N, NO | Y, YES",,,,,,"[fibscn_lbstat] = 'null' AND [fibscn_lbdtc] = ''",y,,,,,
fibscn_lborres,fibrosis_staging,,text,"FibroSCAN results",,(kPa),number,,,,"[fibscn_lbstat] = 'null'",y,,,,,
fibscn_lborresu,fibrosis_staging,,descriptive,kPa,,,,,,,"0 = 1",,,,,,
cap_lbtestcd,fibrosis_staging,,descriptive,CAP,,,,,,,"0 = 1",,,,,,
cap_lbtest,fibrosis_staging,,descriptive,"Controlled Attenuation Parameter",,,,,,,"0 = 1",,,,,,
cap_lbstat,fibrosis_staging,,radio,"CAP available for this subject?","NOT_DONE, NO | null, YES",,,,,,"[fibscn_lbstat] = 'null'",y,,,,,
cap_lbdtc,fibrosis_staging,,text,"CAP date",,,date_ymd,,,,"[cap_lbstat] = 'null' AND [cap_supplb_nolbdtc] != 'Y'",y,,,,,
cap_supplb_nolbdtc,fibrosis_staging,,radio,"Is CAP date unknown?","N, NO | Y, YES",,,,,,"[cap_lbstat] = 'null' AND [cap_lbdtc] = ''",y,,,,,
cap_lborres,fibrosis_staging,,text,"CAP results",,(dB/M),number,,,,"[cap_lbstat] = 'null'",y,,,,,
cap_lborresu,fibrosis_staging,,descriptive,dB/M,,,,,,,"0 = 1",,,,,,
rap_lbtestcd,rav_results,,descriptive,RAP,,,,,,,"0 = 1",,,,,,
rap_lbtest,rav_results,,descriptive,"Resistance associated polymorphism present",,,,,,,"0 = 1",,,,,,
rap_lboccur,rav_results,,radio,"Resistance associated polymorphism available for this subject?","N, NO | Y, YES",,,,,,,,,,,,
rap_lborres,rav_results,,radio,"Resistance associated polymorphism present","N, NO | Y, YES",,,,,,"[rap_lboccur] = 'Y'",y,,,,,
rap_faobj,rav_results,,descriptive,RAP,,,,,,,"0 = 1",,,,,,
rap_fatestcd,rav_results,,descriptive,RAPLOC,,,,,,,"0 = 1",,,,,,
rap_fatest,rav_results,,descriptive,"Resistance associated polymorphism location(s)",,,,,,,"0 = 1",,,,,,
rap_fadtc,rav_results,,text,"Date RAP collected",,YYYY-MM-DD,date_ymd,,,,"[rap_lborres] = 'Y'",y,,,,,
rap_faorres,rav_results,,checkbox,"Resistance associated polymorphism location(s)","28, 28 | 30, 30 | 31, 31 | 93, 93",,,,,,"[rap_lborres] = 'Y'",y,,,,,
cbc_lbdtc,cbc,,text,"Date of test",,YYYY-MM-DD,date_ymd,,,,,y,,,,,
wbc_lbtest,cbc,,descriptive,Leukocytes,,,,,,,"0 = 1",,,,,,
wbc_lbtestcd,cbc,,descriptive,WBC,,,,,,,"0 = 1",,,,,,
wbc_lborres,cbc,,text,WBC,,,number,,,,"[wbc_lbstat] != 'NOT_DONE'",y,,,,,
wbc_lborresu,cbc,,text,"WBC units",,"@AUTOCOMPLETE=SELECT unit_name FROM _units_view",,,,,"[wbc_lbstat] != 'NOT_DONE'",y,,,,,
wbc_lbstat,cbc,,radio,"WBC done?","NOT_DONE, NO | null, YES",,,,,,"[wbc_lborres] = ''",y,,,,,
neut_lbtest,cbc,,descriptive,Neutrophils/Leukocytes,,,,,,,"0 = 1",,,,,,
neut_lbtestcd,cbc,,descriptive,NEUTLE,,,,,,,"0 = 1",,,,,,
neut_lborres,cbc,,text,"Neutrophils (%)",,,number,,,,"[neut_lbstat] != 'NOT_DONE'",y,,,,,
neut_lborresu,cbc,,text,"Neutrophils (%) units",,"@AUTOCOMPLETE=SELECT unit_name FROM _units_view",,,,,"[neut_lbstat] != 'NOT_DONE'",y,,,,,
neut_lbstat,cbc,,radio,"Neutrophils (%) done?","NOT_DONE, NO | null, YES",,,,,,"[neut_lborres] = ''",y,,,,,
anc_lbtest,cbc,,descriptive,"Absolute Neutrophil Count",,,,,,,"0 = 1",,,,,,
anc_lbtestcd,cbc,,descriptive,NEUT,,,,,,,"0 = 1",,,,,,
anc_lborres,cbc,,text,"Neutrophils (absolute)",,,number,,,,"[anc_lbstat] != 'NOT_DONE'",y,,,,,
anc_lborresu,cbc,,text,"Neutrophils (absolute) units",,"@AUTOCOMPLETE=SELECT unit_name FROM _units_view",,,,,"[anc_lbstat] != 'NOT_DONE'",y,,,,,
anc_lbstat,cbc,,radio,"Neutrophils (absolute) done?","NOT_DONE, NO | null, YES",,,,,,"[anc_lborres] = ''",y,,,,,
lymce_lbtest,cbc,,descriptive,"Lymphocytes/Total Cells",,,,,,,"0 = 1",,,,,,
lymce_lbtestcd,cbc,,descriptive,LYMCE,,,,,,,"0 = 1",,,,,,
lymce_lborres,cbc,,text,"Lymphocytes (%)",,,number,,,,"[lymce_lbstat] != 'NOT_DONE'",y,,,,,
lymce_lborresu,cbc,,text,"Lymphocytes (%) units",,"@AUTOCOMPLETE=SELECT unit_name FROM _units_view",,,,,"[lymce_lbstat] != 'NOT_DONE'",y,,,,,
lymce_lbstat,cbc,,radio,"Lymphocytes (%) done?","NOT_DONE, NO | null, YES",,,,,,"[lymce_lborres] = ''",y,,,,,
lym_lbtest,cbc,,descriptive,Lymphocytes,,,,,,,"0 = 1",,,,,,
lym_lbtestcd,cbc,,descriptive,LYM,,,,,,,"0 = 1",,,,,,
lym_lborres,cbc,,text,"Lymphocytes (absolute)",,,number,,,,"[lym_lbstat] != 'NOT_DONE'",y,,,,,
lym_lborresu,cbc,,text,"Lymphocytes units",,"@AUTOCOMPLETE=SELECT unit_name FROM _units_view",,,,,"[lym_lbstat] != 'NOT_DONE'",y,,,,,
lym_lbstat,cbc,,radio,"Lymphocytes done?","NOT_DONE, NO | null, YES",,,,,,"[lym_lborres] = ''",y,,,,,
plat_lbtest,cbc,,descriptive,Platelets,,,,,,,"0 = 1",,,,,,
plat_lbtestcd,cbc,,descriptive,PLAT,,,,,,,"0 = 1",,,,,,
plat_lborres,cbc,,text,"Platelet count",,,number,,,,"[plat_lbstat] != 'NOT_DONE'",y,,,,,
plat_lborresu,cbc,,text,"Platelet units",,"@AUTOCOMPLETE=SELECT unit_name FROM _units_view",,,,,"[plat_lbstat] != 'NOT_DONE'",y,,,,,
plat_lbstat,cbc,,radio,"Platelet count done?","NOT_DONE, NO | null, YES",,,,,,"[plat_lborres] = ''",y,,,,,
hemo_lbtest,cbc,,descriptive,Hemoglobin,,,,,,,"0 = 1",,,,,,
hemo_lbtestcd,cbc,,descriptive,HGB,,,,,,,"0 = 1",,,,,,
hemo_lborres,cbc,,text,"Hemoglobin ",,,number,,,,"[hemo_lbstat] != 'NOT_DONE'",y,,,,,
hemo_lborresu,cbc,,text,"Hemoglobin units",,"@AUTOCOMPLETE=SELECT unit_name FROM _units_view",,,,,"[hemo_lbstat] != 'NOT_DONE'",y,,,,,
hemo_lbstat,cbc,,radio,"Hemoglobin done?","NOT_DONE, NO | null, YES",,,,,,"[hemo_lborres] = ''",y,,,,,
wbc_lbstresn,cbc_standard,,text,WBC,,,,,,,"[wbc_lbstat] != 'NOT_DONE'",y,,,,,
wbc_lbstresu,cbc_standard,,text,"WBC units",,"@AUTOCOMPLETE=SELECT unit_name FROM _units_view",,,,,"[wbc_lbstat] != 'NOT_DONE'",y,,,,,
neut_lbstresn,cbc_standard,,text,"Neutrophils (%)",,,,,,,"[neut_lbstat] != 'NOT_DONE'",y,,,,,
neut_lbstresu,cbc_standard,,text,"Neutrophils (%) units",,"@AUTOCOMPLETE=SELECT unit_name FROM _units_view",,,,,"[neut_lbstat] != 'NOT_DONE'",y,,,,,
anc_lbstresn,cbc_standard,,text,"Neutrophils (absolute)",,,,,,,"[anc_lbstat] != 'NOT_DONE'",y,,,,,
anc_lbstresu,cbc_standard,,text,"Neutrophils (absolute) units",,"@AUTOCOMPLETE=SELECT unit_name FROM _units_view",,,,,"[anc_lbstat] != 'NOT_DONE'",y,,,,,
lymce_lbstresn,cbc_standard,,text,"Lymphocytes (%)",,,,,,,"[lymce_lbstat] != 'NOT_DONE'",y,,,,,
lymce_lbstresu,cbc_standard,,text,"Lymphocytes (%) units",,"@AUTOCOMPLETE=SELECT unit_name FROM _units_view",,,,,"[lymce_lbstat] != 'NOT_DONE'",y,,,,,
lym_lbstresn,cbc_standard,,text,"Lymphocytes (absolute)",,,,,,,"[lym_lbstat] != 'NOT_DONE'",y,,,,,
lym_lbstresu,cbc_standard,,text,"Lymphocytes units",,"@AUTOCOMPLETE=SELECT unit_name FROM _units_view",,,,,"[lym_lbstat] != 'NOT_DONE'",y,,,,,
plat_lbstresn,cbc_standard,,text,"Platelet count",,,,,,,"[plat_lbstat] != 'NOT_DONE'",y,,,,,
plat_lbstresu,cbc_standard,,text,"Platelet units",,"@AUTOCOMPLETE=SELECT unit_name FROM _units_view",,,,,"[plat_lbstat] != 'NOT_DONE'",y,,,,,
hemo_lbstresn,cbc_standard,,text,"Hemoglobin ",,,,,,,"[hemo_lbstat] != 'NOT_DONE'",y,,,,,
hemo_lbstresu,cbc_standard,,text,"Hemoglobin units",,"@AUTOCOMPLETE=SELECT unit_name FROM _units_view",,,,,"[hemo_lbstat] != 'NOT_DONE'",y,,,,,
chem_lbdtc,chemistry,,text,"Date of test",,YYYY-MM-DD,date_ymd,,,,,y,,,,,
alt_lbtest,chemistry,,descriptive,"Alanine Aminotransferase",,,,,,,"0 = 1",,,,,,
alt_lbtestcd,chemistry,,descriptive,ALT,,,,,,,"0 = 1",,,,,,
alt_lborres,chemistry,,text,"Serum ALT ",,,number,,,,"[alt_lbstat] != 'NOT_DONE'",y,,,,,
alt_lborresu,chemistry,,text,"Serum ALT units",,"@AUTOCOMPLETE=SELECT unit_name FROM _units_view",,,,,"[alt_lbstat] != 'NOT_DONE'",y,,,,,
alt_lbstat,chemistry,,radio,"Serum ALT done?","NOT_DONE, NO | null, YES",,,,,,"[alt_lborres] = ''",y,,,,,
ast_lbtest,chemistry,,descriptive,"Aspartate Aminotransferase",,,,,,,"0 = 1",,,,,,
ast_lbtestcd,chemistry,,descriptive,AST,,,,,,,"0 = 1",,,,,,
ast_lborres,chemistry,,text,"Serum AST ",,,number,,,,"[ast_lbstat] != 'NOT_DONE'",y,,,,,
ast_lborresu,chemistry,,text,"Serum AST units",,"@AUTOCOMPLETE=SELECT unit_name FROM _units_view",,,,,"[ast_lbstat] != 'NOT_DONE'",y,,,,,
ast_lbstat,chemistry,,radio,"Serum AST done?","NOT_DONE, NO | null, YES",,,,,,"[ast_lborres] = ''",y,,,,,
alp_lbtest,chemistry,,descriptive,"Alkaline Phosphatase",,,,,,,"0 = 1",,,,,,
alp_lbtestcd,chemistry,,descriptive,ALP,,,,,,,"0 = 1",,,,,,
alp_lborres,chemistry,,text,"Serum ALP ",,,number,,,,"[alp_lbstat] != 'NOT_DONE'",y,,,,,
alp_lborresu,chemistry,,text,"Serum ALP units",,"@AUTOCOMPLETE=SELECT unit_name FROM _units_view",,,,,"[alp_lbstat] != 'NOT_DONE'",y,,,,,
alp_lbstat,chemistry,,radio,"Serum ALP done?","NOT_DONE, NO | null, YES",,,,,,"[alp_lborres] = ''",y,,,,,
tbil_lbtest,chemistry,,descriptive,"Total Bilirubin",,,,,,,"0 = 1",,,,,,
tbil_lbtestcd,chemistry,,descriptive,BILI,,,,,,,"0 = 1",,,,,,
tbil_lborres,chemistry,,text,"Total Bilirubin",,,number,,,,"[tbil_lbstat] != 'NOT_DONE'",y,,,,,
tbil_lborresu,chemistry,,text,"Total Bilirubin units",,"@AUTOCOMPLETE=SELECT unit_name FROM _units_view",,,,,"[tbil_lbstat] != 'NOT_DONE'",y,,,,,
tbil_lbstat,chemistry,,radio,"Total Bilirubin done?","NOT_DONE, NO | null, YES",,,,,,"[tbil_lborres] = ''",y,,,,,
dbil_lbtest,chemistry,,descriptive,"Direct Bilirubin",,,,,,,"0 = 1",,,,,,
dbil_lbtestcd,chemistry,,descriptive,BILDIR,,,,,,,"0 = 1",,,,,,
dbil_lborres,chemistry,,text,"Direct Bilirubin",,,number,,,,"[dbil_lbstat] != 'NOT_DONE'",y,,,,,
dbil_lborresu,chemistry,,text,"Direct Bilirubin units",,"@AUTOCOMPLETE=SELECT unit_name FROM _units_view",,,,,"[dbil_lbstat] != 'NOT_DONE'",y,,,,,
dbil_lbstat,chemistry,,radio,"Direct Bilirubin done?","NOT_DONE, NO | null, YES",,,,,,"[dbil_lborres] = ''",y,,,,,
alb_lbtest,chemistry,,descriptive,Albumin,,,,,,,"0 = 1",,,,,,
alb_lbtestcd,chemistry,,descriptive,ALB,,,,,,,"0 = 1",,,,,,
alb_lborres,chemistry,,text,Albumin,,,number,,,,"[alb_lbstat] != 'NOT_DONE'",y,,,,,
alb_lborresu,chemistry,,text,"Albumin units",,"@AUTOCOMPLETE=SELECT unit_name FROM _units_view",,,,,"[alb_lbstat] != 'NOT_DONE'",y,,,,,
alb_lbstat,chemistry,,radio,"Albumin done?","NOT_DONE, NO | null, YES",,,,,,"[alb_lborres] = ''",y,,,,,
creat_lbtest,chemistry,,descriptive,Creatinine,,,,,,,"0 = 1",,,,,,
creat_lbtestcd,chemistry,,descriptive,CREAT,,,,,,,"0 = 1",,,,,,
creat_lborres,chemistry,,text,Creatinine,,,number,,,,"[creat_lbstat] != 'NOT_DONE'",y,,,,,
creat_lborresu,chemistry,,text,"Creatinine units",,"@AUTOCOMPLETE=SELECT unit_name FROM _units_view",,,,,"[creat_lbstat] != 'NOT_DONE'",y,,,,,
creat_lbstat,chemistry,,radio,"Creatinine done?","NOT_DONE, NO | null, YES",,,,,,"[creat_lborres] = ''",y,,,,,
gluc_lbtestcd,chemistry,,descriptive,GLUC,,,,,,,"0 = 1",,,,,,
gluc_lbtest,chemistry,,descriptive,Glucose,,,,,,,"0 = 1",,,,,,
gluc_lborres,chemistry,,text,Glucose,,,number,,,,"[gluc_lbstat] != 'NOT_DONE'",y,,,,,
gluc_lborresu,chemistry,,text,"Glucose units",,"@AUTOCOMPLETE=SELECT unit_name FROM _units_view",,,,,"[gluc_lbstat] != 'NOT_DONE'",y,,,,,
gluc_lbstat,chemistry,,radio,"Glucose done?","NOT_DONE, NO | null, YES",,,,,,"[gluc_lborres] = ''",y,,,,,
k_lbtestcd,chemistry,,descriptive,K,,,,,,,"0 = 1",,,,,,
k_lbtest,chemistry,,descriptive,Potassium,,,,,,,"0 = 1",,,,,,
k_lborres,chemistry,,text,Potassium,,,number,,,,"[k_lbstat] != 'NOT_DONE'",y,,,,,
k_lborresu,chemistry,,text,"Potassium units",,"@AUTOCOMPLETE=SELECT unit_name FROM _units_view",,,,,"[k_lbstat] != 'NOT_DONE'",y,,,,,
k_lbstat,chemistry,,radio,"Potassium done?","NOT_DONE, NO | null, YES",,,,,,"[k_lborres] = ''",y,,,,,
sodium_lbtestcd,chemistry,,descriptive,SODIUM,,,,,,,"0 = 1",,,,,,
sodium_lbtest,chemistry,,descriptive,Sodium,,,,,,,"0 = 1",,,,,,
sodium_lborres,chemistry,,text,Sodium,,,number,,,,"[sodium_lbstat] != 'NOT_DONE'",y,,,,,
sodium_lborresu,chemistry,,text,"Sodium units",,"@AUTOCOMPLETE=SELECT unit_name FROM _units_view",,,,,"[sodium_lbstat] != 'NOT_DONE'",y,,,,,
sodium_lbstat,chemistry,,radio,"Sodium done?","NOT_DONE, NO | null, YES",,,,,,"[sodium_lborres] = ''",y,,,,,
alt_lbstresn,chemistry_standard,,text,"Serum ALT ",,,,,,,"[alt_lbstat] != 'NOT_DONE'",y,,,,,
alt_lbstresu,chemistry_standard,,text,"Serum ALT units",,"@AUTOCOMPLETE=SELECT unit_name FROM _units_view",,,,,"[alt_lbstat] != 'NOT_DONE'",y,,,,,
ast_lbstresn,chemistry_standard,,text,"Serum AST ",,,,,,,"[ast_lbstat] != 'NOT_DONE'",y,,,,,
ast_lbstresu,chemistry_standard,,text,"Serum AST units",,"@AUTOCOMPLETE=SELECT unit_name FROM _units_view",,,,,"[ast_lbstat] != 'NOT_DONE'",y,,,,,
alp_lbstresn,chemistry_standard,,text,"Serum ALP ",,,,,,,"[alp_lbstat] != 'NOT_DONE'",y,,,,,
alp_lbstresu,chemistry_standard,,text,"Serum ALP units",,"@AUTOCOMPLETE=SELECT unit_name FROM _units_view",,,,,"[alp_lbstat] != 'NOT_DONE'",y,,,,,
tbil_lbstresn,chemistry_standard,,text,"Total Bilirubin",,,,,,,"[tbil_lbstat] != 'NOT_DONE'",y,,,,,
tbil_lbstresu,chemistry_standard,,text,"Total Bilirubin units",,"@AUTOCOMPLETE=SELECT unit_name FROM _units_view",,,,,"[tbil_lbstat] != 'NOT_DONE'",y,,,,,
dbil_lbstresn,chemistry_standard,,text,"Direct Bilirubin",,,,,,,"[dbil_lbstat] != 'NOT_DONE'",y,,,,,
dbil_lbstresu,chemistry_standard,,text,"Direct Bilirubin units",,"@AUTOCOMPLETE=SELECT unit_name FROM _units_view",,,,,"[dbil_lbstat] != 'NOT_DONE'",y,,,,,
alb_lbstresn,chemistry_standard,,text,Albumin,,,,,,,"[alb_lbstat] != 'NOT_DONE'",y,,,,,
alb_lbstresu,chemistry_standard,,text,"Albumin units",,"@AUTOCOMPLETE=SELECT unit_name FROM _units_view",,,,,"[alb_lbstat] != 'NOT_DONE'",y,,,,,
creat_lbstresn,chemistry_standard,,text,Creatinine,,,,,,,"[creat_lbstat] != 'NOT_DONE'",y,,,,,
creat_lbstresu,chemistry_standard,,text,"Creatinine units",,"@AUTOCOMPLETE=SELECT unit_name FROM _units_view",,,,,"[creat_lbstat] != 'NOT_DONE'",y,,,,,
gluc_lbstresn,chemistry_standard,,text,Glucose,,,,,,,"[gluc_lbstat] != 'NOT_DONE'",y,,,,,
gluc_lbstresu,chemistry_standard,,text,"Glucose units",,"@AUTOCOMPLETE=SELECT unit_name FROM _units_view",,,,,"[gluc_lbstat] != 'NOT_DONE'",y,,,,,
k_lbstresn,chemistry_standard,,text,Potassium,,,,,,,"[k_lbstat] != 'NOT_DONE'",y,,,,,
k_lbstresu,chemistry_standard,,text,"Potassium units",,"@AUTOCOMPLETE=SELECT unit_name FROM _units_view",,,,,"[k_lbstat] != 'NOT_DONE'",y,,,,,
